project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
200 MW SPP part of 510 MW CPSU scheme,NLC India Limited [NLCIL],618991,1221.41,64.03,0.0,33.0,25.0,20.0,Gujarat,NLC India Limited [NLCIL],0
100 MW SPP part of SECI 150 MW Hybrid,NLC India Limited [NLCIL],618992,480.68,2.62,1.2,32.0,24.0,21.0,Gujarat,NLC India Limited [NLCIL],0
NLC Talabira Thermal Power Project,NLC India Limited [NLCIL],400231,27212.96,3454.06,2.1,74.0,27.0,84.0,Odisha,NLC India Limited [NLCIL],1
300 MW SPP part of 510 MW CPSU scheme,NLC India Limited [NLCIL],612819,1813.0,1753.07,100.0,18.0,37.0,8.0,Rajasthan,NLC India Limited [NLCIL],0
810 MW Solar Power Project - Rajasthan,NLC India Limited [NLCIL],618981,4147.07,224.77,0.0,30.0,7.0,11.0,Rajasthan,NLC India Limited [NLCIL],0
50 MW Solar PP Minedout Area,NLC India Limited [NLCIL],615327,218.03,169.95,100.0,13.0,26.0,6.0,Tamil Nadu,NLC India Limited [NLCIL],0
Ghatampur Thermal Power Plant 3 X 660 MW,NLC India Limited [NLCIL],400259,17237.8,21237.52,95.68,51.0,116.0,1.0,Uttar Pradesh,NLC India Limited [NLCIL],1
Dharamjaigarh-Korba,Railway,400203,1686.22,625.77,43.5,117.0,109.0,-14.0,Chhattisgarh,Railway,1
Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],Ministry of Coal,400416,1799.64,1713.19,71.0,37.0,47.0,51.0,Jharkhand,Ministry of Coal,1
Tubed Coal Mine,Damodar Valley Corporation,400192,1581.0,601.03,36.0,115.0,114.0,3.0,Jharkhand,Damodar Valley Corporation,0
Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],603293,502.0,471.08,67.86,447.0,79.0,7.0,Jharkhand,National Thermal Power Corporation [NTPC],1
Dibang Multipurpose Project,National Hydroelectric Power Corporation Limited [NHPC],602182,31876.39,4593.04,17.43,108.0,38.0,0.0,Arunachal Pradesh,National Hydroelectric Power Corporation Limited [NHPC],1
240MW Heo HE Project,North Eastern Electric Power Corporation Limited,611698,1938.85,96.94,4.95,50.0,11.0,5.0,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,0
186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,611699,1750.07,73.91,5.04,50.0,11.0,5.0,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,0
700 MW Tato-II HE Project,North Eastern Electric Power Corporation Limited,611716,8146.21,243.25,6.41,72.0,7.0,0.0,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,0
Kalai-II Hydro Electric Project [1200 MW],THDC India Limited,619311,14105.83,187.16,0.0,78.0,0.0,0.0,Arunachal Pradesh,THDC India Limited,0
Buxar Thermal Power Project [1320 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602579,10439.09,13370.07,94.33,55.0,82.0,3.0,Bihar,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",National Thermal Power Corporation [NTPC],619051,29948.0,2676.55,10.17,64.0,13.0,4.0,Bihar,National Thermal Power Corporation [NTPC],0
Lara Super Thermal Power Project Stage-II [2 x 800 MW],National Thermal Power Corporation [NTPC],611930,15530.0,4787.3,28.6,58.0,32.0,0.0,Chhattisgarh,National Thermal Power Corporation [NTPC],1
"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",National Thermal Power Corporation [NTPC],617188,9791.0,1619.63,18.91,60.0,19.0,0.0,Chhattisgarh,National Thermal Power Corporation [NTPC],0
Bagodara Solar Power Project,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709747,339.35,370.0,51.86,55.0,59.0,2.0,Gujarat,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,0
Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,687.97,1107.31,77.51,54.0,59.0,7.0,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602593,1810.56,1924.48,51.32,62.0,65.0,0.0,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
Sunni Dam Hydro Electric Project [382 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,611586,2614.51,1083.85,33.98,63.0,39.0,0.0,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",National Hydroelectric Power Corporation Limited [NHPC],602525,8112.12,9114.12,80.5,26.0,98.0,40.0,"Jammu and
Kashmir",National Hydroelectric Power Corporation Limited [NHPC],1
Kiru HE Project,National Hydroelectric Power Corporation Limited [NHPC],602532,4287.59,3733.26,83.46,43.0,74.0,11.0,"Jammu and
Kashmir",National Hydroelectric Power Corporation Limited [NHPC],1
"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",National Hydroelectric Power Corporation Limited [NHPC],602535,5281.94,1566.39,29.85,49.0,51.0,11.0,"Jammu and
Kashmir",National Hydroelectric Power Corporation Limited [NHPC],0
Kwar HE Project,National Hydroelectric Power Corporation Limited [NHPC],605155,4526.12,1569.55,34.21,48.0,41.0,6.0,"Jammu and
Kashmir",National Hydroelectric Power Corporation Limited [NHPC],0
Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],National Thermal Power Corporation [NTPC],400261,18668.0,18690.0,88.74,64.0,101.0,0.0,Jharkhand,National Thermal Power Corporation [NTPC],1
"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",Damodar Valley Corporation,611509,14358.0,1890.03,11.0,52.0,17.0,19.0,Jharkhand,Damodar Valley Corporation,0
"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]",National Thermal Power Corporation [NTPC],618976,20446.0,1721.18,7.5,58.0,11.0,6.0,Madhya Pradesh,National Thermal Power Corporation [NTPC],0
Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],602096,6285.33,26150.32,97.64,68.0,255.0,16.0,"Multi-States
(Arunachal
Pradesh, Assam)",National Hydroelectric Power Corporation Limited [NHPC],1
Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion,National Thermal Power Corporation [NTPC],602961,11843.75,6454.35,50.2,56.0,43.0,1.0,Odisha,National Thermal Power Corporation [NTPC],1
