rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,revised_cost,expenditure,physical_progress,cost_overrun_percent,schedule_change_months,expenditure_progress_gap,cost_risk,schedule_risk,progress_risk,financial_risk,rule_based_score,ml_score,final_risk_score,risk_level,risk_reasons
785,Barabanki-Malhaur 3rd & 4th Railway Line Project,Ministry of Railways,705782,Uttar Pradesh,Ministry of Railways,407.0,407.0,409.54,77.0,0.0,17.0,23.624078624078635,0,75,0,75,33.75,16.763472,26.95538854598999,LOW,Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
786,Kadambattukonam-Kazhakuttom,National Highways Authority of India [NHAI],619208,Kerala,National Highways Authority of India [NHAI],3635.64,3526.33,573.31,44.34,-3.0066233180402886,23.0,-28.08202074111045,0,75,75,0,41.25,5.467001,26.936800479888916,LOW,Schedule delay above 6 months | Low physical progress
787,Dhanbad Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,702741,Jharkhand,Ministry of Housing & Urban Affairs,216.55,216.55,129.16,76.0,0.0,39.0,-16.355576079427394,0,100,0,0,30.0,22.325329,26.930131912231445,LOW,Schedule delay above 6 months
788,4L Elevated Highway and at grade improvements at Gopalganj Town from Km. 384.000 to Km. 386.750 on NH-27,National Highways Authority of India [NHAI],618570,Bihar,National Highways Authority of India [NHAI],325.57,248.92,225.44,99.78,-23.543324016340573,20.0,-9.212749477743856,0,75,0,0,22.5,33.547966,26.91918659210205,LOW,Schedule delay above 6 months
789,Six Laning of Varanasi to Aurangabad from km. 786.00 to km. 978.40 of Old NH-2,National Highways Authority of India [NHAI],618530,"Multi-States
(Bihar, Uttar
Pradesh)",National Highways Authority of India [NHAI],3241.56,3241.56,1248.48,95.58,0.0,147.0,-57.065210824417875,0,100,0,0,30.0,22.145601,26.858241081237793,LOW,Schedule delay above 6 months
790,Widening of existing Single lane / Intermediate lane road to 2 lane from Km 101 to Km 125 of NH 61,MoRTH,617886,Nagaland,MoRTH,252.2,252.2,0.0,44.46,0.0,6.0,-44.46,0,25,75,0,26.25,27.68088,26.822352409362793,LOW,Low physical progress
791,Tezpur University Projects,Tezpur University,606112,Assam,Tezpur University,153.71,153.71,137.84,97.7,0.0,25.0,-8.02463730401405,0,100,0,0,30.0,21.992186,26.796874046325684,LOW,Schedule delay above 6 months
792,construction of a new 4 lane Parallel to existing MG Setu with its approaces from km 0.00 to km 14.500 across river Ganga on NH-19 at Patna in the state of Bihar.,MoRTH,618228,Bihar,MoRTH,2926.42,2926.42,0.0,72.51,0.0,33.0,-72.51,0,100,40,0,40.0,6.967435,26.78697395324707,LOW,Schedule delay above 6 months
793,Tumkur - Nelamangala 6L,National Highways Authority of India [NHAI],619071,Karnataka,National Highways Authority of India [NHAI],2032.15,1664.2,580.01,59.83,-18.10643899318456,19.0,-24.97781877178224,0,75,40,0,32.5,18.191103,26.77644109725952,LOW,Schedule delay above 6 months
794,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",Employee's State Insurance Company [ESIC],612211,Gujarat,Employee's State Insurance Company [ESIC],205.87,205.87,51.74,46.0,0.0,13.0,-20.86763491523777,0,75,75,0,41.25,4.9328275,26.72313106060028,LOW,Schedule delay above 6 months | Low physical progress
