rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1946,JHAJHA - BATIA,East Central Railway [ECR] - I,900874,Bihar,East Central Railway [ECR] - I,588.18,2.38,0.1,37.0,0.17683804,0.17683804,LOW
1947,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,National Industrial Corridor Development Corporation,601812,Telangana,National Industrial Corridor Development Corporation,2360.0,0.0,0.3,2.0,0.17648357,0.17648357,LOW
1948,Pune Metro Rail Project Phase-2 Corridor 2A Vanaz to Chandani Chowk and Corridor 2B Ramwadi to Wagholi/Vitthalwadi,Maharashtra Metro Rail Corporation Limited [MMRCL],618971,Maharashtra,Maharashtra Metro Rail Corporation Limited [MMRCL],3626.24,2.65,1.38,9.0,0.17564929,0.17564929,LOW
1949,"Augmentation at Fatehgarh-II PS, Fatehgarh-IV PS [Section-II] and Barmer-I PS [POWERGRID Fatehgarh Barmer Augmentation Transmission Limited]",Power Grid Corporation of India Limited [POWERGRID],617181,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],404.0,28.28,9.8,13.0,0.17515486,0.17515486,LOW
1950,Nandurshingote to Kolhar,MoRTH,618088,Maharashtra,MoRTH,325.79,9.87,27.0,10.0,0.16697802,0.16697802,LOW
1951,Augmentation of 1x500 MVA 400/220kV ICT [3rd] at Thrissur VSC HVDC Station in Kerala,Power Grid Corporation of India Limited [POWERGRID],619028,Kerala,Power Grid Corporation of India Limited [POWERGRID],173.14,2.08,1.5,8.0,0.16451141,0.16451141,LOW
1952,Inter-regional [NR-WR] Transmission System strengthening to relieve the loading of 765 kV Vindhyachal-Varanasi D/c line,Power Grid Corporation of India Limited [POWERGRID],617807,"Multi-States
(Bihar, Uttar
Pradesh)",Power Grid Corporation of India Limited [POWERGRID],2368.0,35.52,2.0,6.0,0.16246955,0.16246955,LOW
1953,Rehabilitation And Upgradation to four lane with paved shoulder configuration from km 24350 to km 61875 Jawale - Borgaon Kale of NH-63 in the State of Maharashtra on EPC mode under Annual Plan 2024-25 Total length - 37.525 Km.,MoRTH,617938,Maharashtra,MoRTH,574.18,0.06,10.0,7.0,0.16215578,0.16215578,LOW
1954,Gorantla - Hindupur section from Km 120/300 to 165/000 of NH716G in the State of Andhra Pradesh,MoRTH,618052,Andhra Pradesh,MoRTH,808.7,0.0,18.72,8.0,0.15951526,0.15951526,LOW
1955,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,MoRTH,776.17,0.0,20.94,9.0,0.15433076,0.15433076,LOW
