rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1102,Krishnapatnam Node - Phase 1 - Roads and Services Development,National Industrial Corridor Development Corporation,701658,Andhra Pradesh,National Industrial Corridor Development Corporation,2139.44,814.26,39.14,26.0,6.0249624,6.0249624,LOW
1103,SUBHADRA OCP,Mahanadi Coalfields Limited [MCL],400165,Odisha,Mahanadi Coalfields Limited [MCL],1693.81,1329.14,45.57,59.0,6.0166183,6.0166183,LOW
1104,Rehabilitation and upgradation of NH-167 from design km 157.707 to 187.723 design length 30.016 km to two lane with paved shoulders of Alinagar-Miryalaguda Sec on EPC mode in the state of Telangana,MoRTH,617993,Telangana,MoRTH,220.28,0.0,97.74,95.0,5.997592,5.997592,LOW
1105,Wadsa-Gadchiroli,South East Central Railway,705479,Maharashtra,South East Central Railway,1886.0,809.55,66.0,169.0,5.97275,5.97275,LOW
1106,Bangalore Suburban Railway Project,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],705941,Karnataka,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],15767.0,3224.09,19.95,66.0,5.967832,5.967832,LOW
1107,Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,National Mineral Development Corporation Limited [NMDC],615202,Chhattisgarh,National Mineral Development Corporation Limited [NMDC],1700.0,258.41,20.3,45.0,5.928793,5.928793,LOW
1108,Widening/Improvement of existing 2-lane to 4-Lane Divided Highway from Kuraopokpi to Sekmai section of Imphal-Kohima Road Design Ch. km 287.00 to 297.700 of NH-39 New NH-02 in state of Manipur on EPC mode Pkg-5A,NHIDCL,618301,Manipur,NHIDCL,228.97,33.76,48.16,14.0,5.917668,5.917668,LOW
1109,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 64535 to km 85385 Design chainage km 55800 to km 74350 under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-III Job no NH-144A-J&K-2019-20-79,MoRTH,618223,"Jammu and
Kashmir",MoRTH,152.93,75.64,88.94,55.0,5.905964,5.905964,LOW
1110,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar, Visakhapatnam, Andhra Pradesh",Employee's State Insurance Company [ESIC],612167,Andhra Pradesh,Employee's State Insurance Company [ESIC],384.27,253.37,88.0,36.0,5.891083,5.891083,LOW
1111,lmprovement and Up-gradation from Km. 73.300 Bikapur to Km.140.960 Patranga of NH-227B 84 Kosi Parikrama Marg to 2LPS along with Parikrama Path,MoRTH,618116,Uttar Pradesh,MoRTH,1679.75,66.99,25.4,3.0,5.8891826,5.8891826,LOW
1112,"CGD Project in Malda, Birbhum, Murshidabad, Dakshin Dinajpur GA ID 11A.03",Hindustan Petroleum Corporation Limited,709758,West Bengal,Hindustan Petroleum Corporation Limited,2628.0,388.06,36.3,46.0,5.8864584,5.8864584,LOW
1113,6L accesscontrolled highway from km 0000 to km 40080 Paniyala to Mator Section of Paniyala-Barodameo ICR,National Highways Authority of India [NHAI],618758,Rajasthan,National Highways Authority of India [NHAI],1764.86,310.12,36.82,19.0,5.875079,5.875079,LOW
1114,Rehabilitation and upgradation to 2 Lane with Paved shoulder of Economic corridor of NH-6 from Design chaiange Km 0.000 to Km 13.510 Package-1 in the state of Mizoram under Bharatmala Pariyojana on EPC mode,NHIDCL,618342,Mizoram,NHIDCL,206.9,0.0,0.0,69.0,5.8714585,5.8714585,LOW
1115,Widening to 2 lane with Paved Shoulders of Medak - Siddipet section from Km 0/0 to km 69/978 of NH-765DG in the State of Telangana under Annual plan 2021-22 on EPC mode,MoRTH,618197,Telangana,MoRTH,882.18,347.73,74.06,39.0,5.834152,5.834152,LOW
1116,"Four Lane Highway from Chandan Nagar Existing Km. 59.025 of NH 530B/Design Km. 179.5000 to Bareilly BypassStartExisting Km. 59.025 of NH 530B/Design Km. 218.000 Section of NH 530B, in the State of Uttar Pradesh on HAM Mode under NH0",National Highways Authority of India [NHAI],618866,Uttar Pradesh,National Highways Authority of India [NHAI],2077.0,223.68,16.01,5.0,5.8223433,5.8223433,LOW
1117,Walajahpet/Ranipet to TN/AP Border Section of from Km.106.800 to Km.133.36 NH-4,National Highways Authority of India [NHAI],618769,"Multi-States
(Andhra Pradesh,
Tamil Nadu)",National Highways Authority of India [NHAI],1338.14,116.15,10.07,7.0,5.8099647,5.8099647,LOW
1118,Borolia Irrigation Project,"Department of Water Resources, River Development & GR",701370,Assam,"Department of Water Resources, River Development & GR",256.16,44.7,55.44,352.0,5.7958426,5.7958426,LOW
1119,Balance work of Rehabilitation and Up-gradation to 2-lane road with paved shoulders configuration for NH- 965DD from Pacharal-Mandangad-Mhapral-Rajewadi Upto Junction of NH-66 Ch-22700 to 75100 Km and Ambadave connector Birth place of Dr. Babasaheb Ambedkar Ch-0000 to 7325 Km length Km 59.725 in the state of Maharashtra on EPC mode. Balance Work,MoRTH,618198,Maharashtra,MoRTH,388.93,0.0,93.0,51.0,5.7936234,5.7936234,LOW
1120,Naini Coal Mine,Singareni Collieries Company Limited [SCCL],615857,Odisha,Singareni Collieries Company Limited [SCCL],494.3,491.33,80.0,73.0,5.781743,5.781743,LOW
1121,4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,National Highways Authority of India [NHAI],618832,Jharkhand,National Highways Authority of India [NHAI],1274.82,41.83,5.0,3.0,5.7675743,5.7675743,LOW
1122,6L Bridge and its approaches across River Ganga as Part of Patna Ring Road NH- 131G starting from Km 8.480 near Sherpur to Km 23.000 near Dighwara,National Highways Authority of India [NHAI],618738,Bihar,National Highways Authority of India [NHAI],6291.69,581.87,19.02,31.0,5.7645593,5.7645593,LOW
1123,Construction and up gradation to 4-Lane of existing two lane with paved shoulder from Hapachara to Tulungia road of NH-117 of existing Km 0.00 to km 14.050 and Design Km 0.000 to km 14.660 under BMP on EPC mode,NHIDCL,618289,Assam,NHIDCL,224.85,204.31,97.76,70.0,5.750306,5.750306,LOW
1124,"Rehabilitation and Up-gradation to 2LPS from Km. 0.000 to Km. 7.800 and Km. 35.400 to Km. 52.345 Design length 24.745 Km., except Bihar portion of NH-727B Tamkuhiraj to Bihar Border and Bihar Border to Majhauli on EPC mode in the State of Uttar Pradesh",MoRTH,618263,Uttar Pradesh,MoRTH,701.02,0.0,81.18,15.0,5.712744,5.712744,LOW
1125,4-Laning of Dhanehari Lailapur / Vairengte section from Existing Chainage km 12920 to km 43000 of NH 306 Design Chainage km 20000 to km 49360 on Silchar - Vairengte Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode. Project Length 29.360 km under NHO-NE Package-2,NHIDCL,618314,Assam,NHIDCL,1716.21,918.32,79.34,26.0,5.6958046,5.6958046,LOW
1126,Construction of Major Bridge over Baghmati and Lakhandei River along with Approaches from Design km.16.500 to km.21.500,NHAI,618956,Bihar,NHAI,498.97,43.95,20.42,18.0,5.663689,5.663689,LOW
1127,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],400144,Chhattisgarh,South Eastern Coalfields Limited [SECL],2310.12,113.83,11.81,64.0,5.6552563,5.6552563,LOW
1128,"4-Laning of NH-37 Section between Demow to End of Moran Bypass From Km. 534.800 to Km. 561.700 including Emergency Landing Facility ELF under SARDP-NE, Phase 'A' in the State of Assam on EPC mode",NHIDCL,618438,Assam,NHIDCL,385.57,145.89,100.0,39.0,5.6541724,5.6541724,LOW
1129,"Rehabilitation and Upgradation of LB-Nagar to Malkapur section to 6-Lane main carriageway with service roads, drains cum footpath, including VUPs and widening of Minor bridge & road safety provisions from Km. 15/00 to Km 40/00 of NH-65 Old NH-9 under NH O for the year 2020-21 in the state of Telangana on EPC Mode.",MoRTH,617940,Telangana,MoRTH,545.11,273.9,80.59,45.0,5.645834,5.645834,LOW
1130,Balance work of 4L Panvel to Indapur section of NH-66 Old NH- 17 from km 0.000 Panvel to km 42.300 Kasu,National Highways Authority of India [NHAI],618594,Maharashtra,National Highways Authority of India [NHAI],329.82,185.0,96.89,37.0,5.6377096,5.6377096,LOW
1131,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon Road on EPC Basis from existing road Km. 76.640 to Km 98.065 Design chainage Km. 63.800 to Km. 86.835 Design Length-23.035 Km in the state of Nagaland under SARDP-NE PKG-IV Balance work,NHIDCL,619059,Nagaland,NHIDCL,323.98,70.46,75.05,31.0,5.635883,5.635883,LOW
1132,NATHDWARA- NATHDWARA TOWN NL,North Western Railway [NWR],617408,Rajasthan,North Western Railway [NWR],166.33,109.96,15.0,24.0,5.632319,5.632319,LOW
1133,"Grass-root Terminal at Mirzapur, Uttar Pradesh",Ministry of Petroleum & Natural Gas,604852,Uttar Pradesh,Ministry of Petroleum & Natural Gas,980.45,293.88,75.0,43.0,5.626712,5.626712,LOW
1134,SAAP-3 Water Supply Infrastructure SAAP-3 Project,Ministry of Housing & Urban Affairs,702742,Jharkhand,Ministry of Housing & Urban Affairs,159.31,87.5,67.0,88.0,5.608777,5.608777,LOW
1135,Widening to 2-Lane with Paved shoulder of Imphal to Jiribam section of NH-37 from Design Chainage 15.940 km to 33.120 Km Existing Chainage Km 15.946 to Km 33.395 Total length17.180 Km in the State of Manipur on EPC mode PKG-2 - Balance Works & Rectification works,NHIDCL,618338,Manipur,NHIDCL,195.14,0.0,76.18,13.0,5.601813,5.601813,LOW
1136,Pune raigarh District Border To Mangaon Ch 69000 to 103775 NH-753F,MoRTH,618180,Maharashtra,MoRTH,223.46,0.0,89.08,94.0,5.576988,5.576988,LOW
1137,Yekkambi-Haveri,National Highways Authority of India [NHAI],619138,Karnataka,National Highways Authority of India [NHAI],309.9,82.28,21.12,49.0,5.5737424,5.5737424,LOW
1138,Construction of Amethi bypass Part-II at km.30.050 of NH-931 under EPC mode in the state of Uttar Pradesh,MoRTH,618066,Uttar Pradesh,MoRTH,283.86,24.5,43.0,14.0,5.541831,5.541831,LOW
1139,Improvement of 4L road to 6L road and 4L dedicated Port Roads for the Port connectivity road from Convent junction to Sheelanagar Junction,National Highways Authority of India [NHAI],618806,Andhra Pradesh,National Highways Authority of India [NHAI],685.99,460.16,79.0,26.0,5.5356393,5.5356393,LOW
1140,Widening and Up-gradation to 2- Lane with Paved Shoulder Configuration and geometric improvement from Km. 125. 000 to Km 166 Package-3 on Aizawl Tuipang Section of NH-54 in the State of Mizoram Package-3,NHIDCL,618380,Mizoram,NHIDCL,867.09,159.47,97.51,78.0,5.5148425,5.5148425,LOW
1141,Improvement/construction of existing Class-5 Road to NH Intermediate lane specification with hard shoulder from existing Km 76/340 to 134/940 Design chainage from Km 76/300 to 133/000 net Length 56.700 kms of NH-505 Sumdo-Kaza- Gramphoo road in the state of Himachal Pradesh Package I,MoRTH,618217,Himachal Pradesh,MoRTH,314.67,76.97,60.02,35.0,5.492564,5.492564,LOW
1142,Balance Works for Four laning of Vikravandi to Sethiyathope section from Km 0.0 to Km 65.96 of NH-45C in Tamil Nadu under NHDP Phase-IV on EPC mode,National Highways Authority of India [NHAI],618898,Tamil Nadu,National Highways Authority of India [NHAI],1163.17,166.37,26.7,10.0,5.4820013,5.4820013,LOW
1143,Mira-Bhayandar Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,702840,Maharashtra,Ministry of Housing & Urban Affairs,204.55,186.13,99.0,92.0,5.4797482,5.4797482,LOW
1144,Up-gradation to Two/Four lane with paved shoulder Configuration of Kondagaon- Narayanpur from design ch. 0.00 - 48.693 Design Length 47.493 Km. 1.20 Km. retained on NH-130D under EPC mode in the State Chhattisgarh.,MoRTH,617971,Chhattisgarh,MoRTH,322.4,1.1,62.0,13.0,5.4775076,5.4775076,LOW
1145,Kadambattukonam-Kazhakuttom,National Highways Authority of India [NHAI],619208,Kerala,National Highways Authority of India [NHAI],3635.64,573.31,44.34,45.0,5.467001,5.467001,LOW
1146,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",Power Grid Corporation of India Limited [POWERGRID],612138,"Multi-States
(Karnataka,
Telangana)",Power Grid Corporation of India Limited [POWERGRID],1368.0,1190.16,89.46,26.0,5.4550242,5.4550242,LOW
1147,Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of Palakkad TOP,Ministry of Petroleum & Natural Gas,617838,Kerala,Ministry of Petroleum & Natural Gas,1130.0,268.98,36.2,19.0,5.4232965,5.4232965,LOW
1148,Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,National Highways Authority of India [NHAI],618950,Jharkhand,National Highways Authority of India [NHAI],1565.47,48.97,5.02,3.0,5.408973,5.408973,LOW
1149,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,National Highways Authority of India [NHAI],618505,"Multi-States
(Haryana,
Rajasthan)",National Highways Authority of India [NHAI],409.64,195.8,87.14,40.0,5.3953977,5.3953977,LOW
1150,Improvement/construction of 2-lane with paved shoulder of Askote Llipulekh road from Tawaghat village to Budhi village design km. 56935 to km 95748 and from end of Tunnel portal to Kali Mandir design km 113828 to km. 133078 [total design length 58.063 km] under project Hirak of BRO in the state of Uttarakhand under Bharatmala Pariyojna on EPC Mode,MoRTH,618211,Uttarakhand,MoRTH,649.6,0.0,29.72,17.0,5.3943033,5.3943033,LOW
1151,4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund- Raichur Section of NH-748A Package-4,National Highways Authority of India [NHAI],619107,Karnataka,National Highways Authority of India [NHAI],1311.41,46.41,8.88,7.0,5.3799195,5.3799195,LOW
1152,Up-gradation and strengthening to 2lanePS from Km 95/500 to km 129/775 of Nh 168G Idar-Bhiloda-Samlaji in the state of Gujarat Length 34.275 km,MoRTH,618108,Gujarat,MoRTH,237.28,0.0,63.0,28.0,5.3612003,5.3612003,LOW
1153,Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1,Central Tribal University of Andhra Pradesh,613008,Andhra Pradesh,Central Tribal University of Andhra Pradesh,305.0,64.25,44.0,28.0,5.3565254,5.3565254,LOW
1154,AIIMS Darbhanga,PMSSY AND Institute of NATIONAL Importance,701172,Bihar,PMSSY AND Institute of NATIONAL Importance,1264.0,0.0,0.0,67.0,5.3561606,5.3561606,LOW
1155,Construction of Ring Road around kanpur from Ch.51.200 to Ch. 68.650 Badarka to Harbanch-Uchti Pkg-III,National Highways Authority of India [NHAI],618538,Uttar Pradesh,National Highways Authority of India [NHAI],1792.68,193.85,22.81,15.0,5.3523583,5.3523583,LOW
1156,Widening to Existing single lane /intermediate lane to 2 lane from Km185.00 to Km 220.00 of NH-61 New NH-02 in the state of Nagaland.,MoRTH,618072,Nagaland,MoRTH,297.25,149.19,100.0,45.0,5.344776,5.344776,LOW
1157,Widening and Strengthening to 4LPS/2LPS from km 0.000 to 35.800 Kuakhia - Mangalpur section of NH 20 in the state of Odisha on Annual Plan 2021-22,MoRTH,617899,Odisha,MoRTH,636.1,292.74,56.11,26.0,5.2791624,5.2791624,LOW
1158,Venkatesh Khani Coal Mine,Singareni Collieries Company Limited [SCCL],615863,Telangana,Singareni Collieries Company Limited [SCCL],484.5,477.14,97.0,70.0,5.2455845,5.2455845,LOW
1159,Kurnool - Setting up facilities for coach midlife rehabilitation workshop,WPO/Patna,611927,Andhra Pradesh,WPO/Patna,560.72,276.66,65.0,102.0,5.2388935,5.2388935,LOW
1160,"Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder configuration in the State of Madhya Pradesh on EPC mode.",MoRTH,618129,Madhya Pradesh,MoRTH,467.93,0.0,86.03,16.0,5.227413,5.227413,LOW
1161,Tumakuru Node - Phase 1 - Roads and Services Development,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],701657,Karnataka,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1701.81,278.35,23.18,38.0,5.212561,5.212561,LOW
1162,Allahabad division - Aligarh - Harduaganj Flyover,North Central Railway,705918,Uttar Pradesh,North Central Railway,1457.0,400.19,36.0,62.0,5.210793,5.210793,LOW
1163,Hubli-Ankola New Line Project [164.44 km],South Western Railway [SWR] - II,705493,Karnataka,South Western Railway [SWR] - II,5174.0,178.42,4.7,315.0,5.2086654,5.2086654,LOW
1164,4 laning of Aligarh-Palwal Section from Km. 46.390 Design Chainage to Km. 69.110 Terminating at junction EPE Package-II from Kurana- Eastern Peripheral Expressway of NH-334D,National Highways Authority of India [NHAI],618691,"Multi-States
(Haryana, Uttar
Pradesh)",National Highways Authority of India [NHAI],939.17,146.48,7.5,8.0,5.1812344,5.1812344,LOW
1165,Indore Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,702793,Madhya Pradesh,Ministry of Housing & Urban Affairs,287.17,252.5,99.0,101.0,5.178551,5.178551,LOW
1166,CHITRA EAST OC,Eastern Coal Fields Limited [ECL],400172,Jharkhand,Eastern Coal Fields Limited [ECL],513.99,239.88,53.03,92.0,5.16076,5.16076,LOW
1167,Widening of existing single lane to intermediate lane road from Mokokchung to Chare via Dikhu in the state of Nagaland on EPC mode,MoRTH,618002,Nagaland,MoRTH,192.93,99.65,0.0,34.0,5.1578784,5.1578784,LOW
1168,"Rehabilitation and Up-gradation of Valigonda to Thorrur Section to Two Lane with Paved Shoulders from Km 39.180 to Km 108.300 of NH-930P in the State of Telangana on Engineering, Procurement and Construction EPC Basis",MoRTH,618186,Telangana,MoRTH,549.28,296.89,94.01,40.0,5.140737,5.140737,LOW
1169,Balance Works of 4L of NH-31D from Km. 113.200 to Km. 154.854 Package-II A Ghoshpukur-Salsalabari Section,National Highways Authority of India [NHAI],618574,West Bengal,National Highways Authority of India [NHAI],1818.46,426.06,55.2,16.0,5.1406827,5.1406827,LOW
1170,4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,National Highways Authority of India [NHAI],618831,Jharkhand,National Highways Authority of India [NHAI],1436.8,200.87,26.6,18.0,5.1393466,5.1393466,LOW
1171,Widening and Reconstruction of existing road to four lane from Km.56400 to Km 120300 i.e. from B.Kothapalli Junction to Gorantla excluding Kadiri Bypass from Km 70200 to Km 77105 of NH 716G in the State of Andhra Pradesh on EPC mode Job no. 742,MoRTH,618161,Andhra Pradesh,MoRTH,839.98,355.56,99.45,31.0,5.102295,5.102295,LOW
1172,construction of Four-Lane of chausa-Buxar Bypass from Km 45.000 to Km 65.915 Package - 2 in the State of Bihar on EPC Mode.,MoRTH,618120,Bihar,MoRTH,1060.16,0.0,0.0,3.0,5.097321,5.097321,LOW
1173,2L with ES of Yagyi - Kalewa section from Milepost 40/0 to Milepost 115/5 in Myanmar,National Highways Authority of India [NHAI],618958,Assam,National Highways Authority of India [NHAI],1200.14,0.0,52.0,95.0,5.094945,5.094945,LOW
1174,Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of associated infrastructure,Rail Land Development Authority,613015,Maharashtra,Rail Land Development Authority,1813.0,833.84,23.0,33.0,5.0929146,5.0929146,LOW
1175,Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies in Delhi,National Buildings Construction Corporation [NBCC],400188,Delhi,National Buildings Construction Corporation [NBCC],32850.0,13885.72,46.8,95.0,5.057082,5.057082,LOW
1176,4L of Chowka to Kaimaha near MP/UP Border section NH-34 from D. Ch. 145.000 to D. Ch. 197.266 excluding existing Chhatarpur bypass from D. Ch. 160.307 to D. Ch. 168.630 Package-4,National Highways Authority of India [NHAI],618668,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)",National Highways Authority of India [NHAI],996.5,162.84,30.89,7.0,5.0302777,5.0302777,LOW
1177,6L Access Controlled Greenfield Highway from Nallacheruvu palli Ch. 96300 to Yerragudipadu Ch. 129000 of [NH-544G] Package-5,National Highways Authority of India [NHAI],618714,Andhra Pradesh,National Highways Authority of India [NHAI],1253.26,339.28,62.02,26.0,5.0110073,5.0110073,LOW
1178,Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project,North Central Railway,705771,Uttar Pradesh,North Central Railway,494.0,397.57,78.0,66.0,4.993281,4.993281,LOW
1179,6L Access Controlled Greenfield Highway from Marripudi Ch. 285500 to Somavarappadu Ch. 314600 of [NH-544G] Package-13,National Highways Authority of India [NHAI],619126,Andhra Pradesh,National Highways Authority of India [NHAI],976.41,293.33,73.0,26.0,4.9656506,4.9656506,LOW
1180,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",Employee's State Insurance Company [ESIC],612211,Gujarat,Employee's State Insurance Company [ESIC],205.87,51.74,46.0,30.0,4.9328275,4.9328275,LOW
1181,Upgradatiobn and Rehabilitation of Section of NH 361 F from Parli 00/000 to Gangakhed 30/400 to Two Lanes with paved shoulder / Four lane configurations on EPC mode in the State of Maharashtra.,MoRTH,618136,Maharashtra,MoRTH,224.44,0.0,91.0,50.0,4.889329,4.889329,LOW
1182,Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],603293,Jharkhand,National Thermal Power Corporation [NTPC],502.0,471.08,67.86,79.0,4.871156,4.871156,LOW
1183,"Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931 Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on Engineering, Procurement & Construction EpC mode in the State of Uttar Pradesh",MoRTH,618067,Uttar Pradesh,MoRTH,1086.3,0.0,4.0,5.0,4.8692727,4.8692727,LOW
1184,4L Greenfield starting from NH-30 near Saristabad Patna to Nathupur Project end point of Patna-Gaya-Dobhi Section of NH-83,National Highways Authority of India [NHAI],618917,Bihar,National Highways Authority of India [NHAI],488.24,82.7,80.83,25.0,4.855738,4.855738,LOW
1185,POL & LOBS Installations with Receipt Pipelines at Rasayani,Bharat Petroleum Corporation Limited [BPCL],709797,Maharashtra,Bharat Petroleum Corporation Limited [BPCL],2585.0,1288.41,80.6,35.0,4.851845,4.851845,LOW
1186,Construction of 2 -Lane with paved shoulders road from Tamenglong to Mahur in the state of Manipur from km 31.430 at Old Tamenglong to km 43.480 ending near Phelong on EPC Mode Package-3,NHIDCL,618356,Manipur,NHIDCL,234.08,196.29,100.0,58.0,4.851767,4.851767,LOW
1187,Widening and Up-gradation to 2- Lane with Paved Shoulder Configuration and geometric improvement from Km. 166. 000 to Km 208.000 Package-4 on Aizawl Tuipang Section of NH-54 in the State of Mizoram Package-4,NHIDCL,618384,Mizoram,NHIDCL,899.45,191.59,99.88,78.0,4.8444786,4.8444786,LOW
1188,MURAIDIH UG PROJECT,BCCL,613808,Jharkhand,Bharat Coking Coal Limited (BCCL),339.87,191.0,70.47,182.0,4.82744,4.82744,LOW
1189,Coke Drum Structure Package,Ministry of Petroleum & Natural Gas,617836,Assam,Ministry of Petroleum & Natural Gas,635.28,453.66,60.6,40.0,4.8158865,4.8158865,LOW
1190,Reconstruction and widening to 2 lane with paved shoulder from existing chainage km 102000 to km 134950 Design chainage km 90150 to km 116980 including construction of Naushera Tunnel Total length of tunnel 0.700 km under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-V Job no NH-144A-J&K-2020-21-104,MoRTH,618220,"Jammu and
Kashmir",MoRTH,642.24,0.0,100.0,45.0,4.811104,4.811104,LOW
1191,Construction & up gradation of existing road to 2-Lane with paved shoulder from existing chainage km 468000 to km 489350 Design Chainage km 465150 to km 471500 of NH-07 Old NH-58 including Joshimath bypass on EPC mode in the state of Uttarakhand Length 6.35 km,MoRTH,618209,Uttarakhand,MoRTH,258.85,0.0,35.6,43.0,4.7715425,4.7715425,LOW
1192,Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,National Highways Authority of India [NHAI],618967,"Jammu and
Kashmir",National Highways Authority of India [NHAI],295.06,175.81,63.8,20.0,4.727705,4.727705,LOW
1193,Widening to 2 lane with paved shoulded of Jareikela Jharkhand/Odisha Border - Dhabaleswar section from 0/0 to 36/0 of NH-320D in the State of Odisha under Annual Plan 2021-22.,MoRTH,618122,Odisha,MoRTH,172.09,0.0,20.25,18.0,4.68974,4.68974,LOW
1194,Rehabilitation and upgradation of Askot-Lipulekh on EPC Basis for Phase-I Existing Km 72.00 to 107.620 Design Chainage Km 21330 to Km 56935 under Project Hirak of BRO in the state of Uttarakhand under Bharatmala Pariyojna Phase-I on EPC Mode Length-35.605 Km CA No EPC/MORT&H/HRK/01/2021-22,MoRTH,618210,Uttarakhand,MoRTH,603.92,0.0,81.17,52.0,4.65966,4.65966,LOW
1195,6L of Kagal-Satara section from Km 658.000 to Km 725.000 of NH-48 Pkg-II,National Highways Authority of India [NHAI],618514,Maharashtra,National Highways Authority of India [NHAI],2330.71,196.85,73.96,40.0,4.6524467,4.6524467,LOW
1196,Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC mode,MoRTH,618025,Telangana,MoRTH,192.67,141.81,96.0,94.0,4.616735,4.616735,LOW
1197,Widening to 2 lane with Paved shoulder of lmphal to Jiribam section of NH-37 from Design Ch. from km 169570 Near Nungkao vlllage under Tamenglong District to km 205974 near Jiribam Bridge under Jiribam district under NHO-NE PKG-7,NHIDCL,618333,Manipur,NHIDCL,760.16,414.38,90.52,28.0,4.6166134,4.6166134,LOW
1198,Development to 4-lane with paved shoulder for the road section Talwandi Sabo- Raman road to refinery Road junction with Bathinda Dabwali Road of NH-254 from existing Km 131.600 to Km 155.650 Design Km 131600 to km 155600 in the State of Punjab. Job No NH-254-PB-2022-23-565,MoRTH,618010,Punjab,MoRTH,546.67,0.0,45.0,11.0,4.601148,4.601148,LOW
1199,Coach Production Factory Upgradation Project,CPM/ICF,705244,Tamil Nadu,CPM/ICF,520.0,192.25,0.0,93.0,4.585875,4.585875,LOW
1200,"Earthwork in Formation, Road Work, Construction of Bridges, Blanketing, P. Way Linking works including Supply of P. Way Fittings and Track Ballast in connection with Construction of Railway Siding from Jogighopa Railway Station to MMLP at Jogighopa from Ch. 00 to 3760 on Item Rate basis Package -3, Railway Siding from Jogighopa Railway Station to MMLP",NHIDCL,618454,Assam,NHIDCL,693.97,37.6,93.23,64.0,4.5669208,4.5669208,LOW
1201,Pune Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,702851,Maharashtra,Ministry of Housing & Urban Affairs,235.95,220.77,95.0,105.0,4.536243,4.536243,LOW
1202,Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms,Western Railway [WR] - II,611974,Gujarat,Western Railway [WR] - II,1430.0,519.4,35.0,32.0,4.536206,4.536206,LOW
1203,"Development to 4-laning of the de-scoped stretches from Km 115.342 to Km 191.700 of NH-34 in Nadia District 3.962 & Murshidabad District 5.538 pertaining to Krishnagar to Berhampore section of NH-34 New NH-12 , in the state of West Bengal under NHO.",National Highways Authority of India [NHAI],618824,West Bengal,National Highways Authority of India [NHAI],201.1,56.95,48.82,21.0,4.536034,4.536034,LOW
1204,Construction of Rudraprayag tunnel of length 900.30 MTR including approaches and one major bridge on river Alaknanda connecting NH-107/old-109 to NH-07old-58 on EPC mode in the state of Uttarakhand.,MoRTH,617967,Uttarakhand,MoRTH,251.88,0.0,99.0,39.0,4.5302367,4.5302367,LOW
1205,NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND & BOTAD-AHMEDABAD [16.51 KM],Western Railway [WR] - II,709813,Gujarat,Western Railway [WR] - II,437.21,117.87,21.0,9.0,4.5156446,4.5156446,LOW
